false_positive,false_negative,method,rows,success_rate,empty_intersection_rate,destroyed_episode_rate,mean_regret,mean_cost,refusal_rate,groups,bits,mean_group_size,max_group_size,raw_possible_cases
0.0,0.0,ccsc_conservative,2,1.0,0.0,0.0,0.006691160881391293,1.0,0.0,52.5,6.0,1.2191582002902757,2.5,639.0
0.0,0.0,ccsc_noisy,2,1.0,0.0,0.0,0.006691160881391293,1.0,0.0,52.5,6.0,1.2191582002902757,2.5,639.0
0.0,0.0,ccsc_thresholded,2,1.0,0.0,0.0,0.006691160881391293,1.0,0.0,52.5,6.0,1.2191582002902757,2.5,639.0
0.0,0.0,normal8_mu2,2,0.9874505577938061,0.044082125603864736,0.0360441336745815,0.1027157230388478,1.0501977688247757,0.0,8.0,3.0,8.0,8.5,639.0
0.0,0.0,raw_mode,2,1.0,0.0,0.0,0.0,1.0,0.0,64.0,6.0,1.0,1.0,639.0
0.0,0.05,ccsc_conservative,2,1.0,0.0,0.0,0.0075213099182671675,1.0,0.0,52.0,6.0,1.2325925925925927,3.0,636.5
0.0,0.05,ccsc_noisy,2,1.0,0.0,0.0,0.007407662242659813,1.0,0.0,52.0,6.0,1.2325925925925927,3.0,636.5
0.0,0.05,ccsc_thresholded,2,1.0,0.0,0.0,0.006789148233663202,1.0,0.0,53.0,6.0,1.2114285714285713,3.0,636.5
0.0,0.05,normal8_mu2,2,0.9905645240916272,0.049516908212560384,0.032993927725118485,0.10138761296824737,1.0377419036334914,0.0,8.0,3.0,8.0,8.5,636.5
0.0,0.05,raw_mode,2,1.0,0.0,0.0,0.0,1.0,0.0,64.0,6.0,1.0,1.0,636.5
0.0,0.1,ccsc_conservative,2,1.0,0.0,0.0,0.006505263511371309,1.0,0.0,53.5,6.0,1.1972027972027972,2.5,636.0
0.0,0.1,ccsc_noisy,2,1.0,0.0,0.0,0.006195245537568934,1.0,0.0,54.0,6.0,1.1888544891640866,2.5,636.0
0.0,0.1,ccsc_thresholded,2,1.0,0.0,0.0,0.005458001764728005,1.0,0.0,55.5,6.0,1.1539961013645224,2.5,636.0
0.0,0.1,normal8_mu2,2,0.985049258952521,0.05563019052271617,0.046412192981371836,0.10427617275615336,1.0598029641899158,0.0,8.0,3.0,8.0,8.5,636.0
0.0,0.1,raw_mode,2,1.0,0.0,0.0,0.0,1.0,0.0,64.0,6.0,1.0,1.0,636.0
0.0,0.2,ccsc_conservative,2,1.0,0.0,0.0,0.007966706549278557,1.0,0.0,51.5,6.0,1.2484848484848485,3.0,634.0
0.0,0.2,ccsc_noisy,2,1.0,0.0,0.0,0.005598322262747416,1.0,0.0,54.0,6.0,1.1855917667238423,2.5,634.0
0.0,0.2,ccsc_thresholded,2,1.0,0.0,0.0,0.006107699606903049,1.0,0.0,53.5,6.0,1.1972027972027972,2.5,634.0
0.0,0.2,normal8_mu2,2,0.990546134861874,0.03284758719541328,0.022838547886314783,0.10312050133308144,1.0378154605525038,0.0,8.0,3.0,8.0,8.5,634.0
0.0,0.2,raw_mode,2,1.0,0.0,0.0,0.0,1.0,0.0,64.0,6.0,1.0,1.0,634.0
0.0,0.4,ccsc_conservative,2,1.0,0.0,0.0,0.005597473744100963,1.0,0.0,56.5,6.0,1.1349654739485247,3.0,637.0
0.0,0.4,ccsc_noisy,2,1.0,0.0,0.0,0.005722002372588723,1.0,0.0,55.5,6.0,1.155497722836695,2.5,637.0
0.0,0.4,ccsc_thresholded,2,1.0,0.0,0.0,0.006702149269546409,1.0,0.0,54.0,6.0,1.1855917667238423,2.5,637.0
0.0,0.4,normal8_mu2,2,0.9866585338804481,0.038644688644688646,0.03216516949465824,0.10452252220496328,1.0533658644782078,0.0,8.0,3.0,8.0,8.5,637.0
0.0,0.4,raw_mode,2,1.0,0.0,0.0,0.0,1.0,0.0,64.0,6.0,1.0,1.0,637.0
0.05,0.0,ccsc_conservative,2,1.0,0.0,0.0,0.006498387920383916,1.0,0.0,52.0,6.0,1.2325925925925927,2.5,637.0
0.05,0.0,ccsc_noisy,2,1.0,0.0,0.0,0.0,1.0,0.0,64.0,6.0,1.0,1.0,637.0
0.05,0.0,ccsc_thresholded,2,1.0,0.0,0.0,0.006232724642428376,1.0,0.0,52.5,6.0,1.2200435729847494,2.5,637.0
0.05,0.0,normal8_mu2,2,0.9913730854065776,0.027472527472527472,0.019601247027220187,0.10461177904340935,1.0345076583736894,0.0,8.0,3.0,8.0,8.5,637.0
0.05,0.0,raw_mode,2,1.0,0.0,0.0,0.0,1.0,0.0,64.0,6.0,1.0,1.0,637.0
0.05,0.05,ccsc_conservative,2,1.0,0.0,0.0,0.006177886660902519,1.0,0.0,54.0,6.0,1.1868131868131868,3.5,637.5
0.05,0.05,ccsc_noisy,2,1.0,0.0,0.0,0.0,1.0,0.0,64.0,6.0,1.0,1.0,637.5
0.05,0.05,ccsc_thresholded,2,1.0,0.0,0.0,0.00555816803695644,1.0,0.0,54.5,6.0,1.1752021563342319,3.5,637.5
0.05,0.05,normal8_mu2,2,0.9874435908918667,0.03876811594202899,0.03295719059265857,0.10337676216292935,1.050225636432533,0.0,8.0,3.0,8.0,8.5,637.5
0.05,0.05,raw_mode,2,1.0,0.0,0.0,0.0,1.0,0.0,64.0,6.0,1.0,1.0,637.5
0.05,0.1,ccsc_conservative,2,1.0,0.0,0.0,0.004404966045013484,1.0,0.0,55.5,6.0,1.1539961013645224,2.5,637.5
0.05,0.1,ccsc_noisy,2,1.0,0.0,0.0,0.0,1.0,0.0,64.0,6.0,1.0,1.0,637.5
0.05,0.1,ccsc_thresholded,2,1.0,0.0,0.0,0.00578049493200789,1.0,0.0,53.5,6.0,1.1972027972027972,2.5,637.5
0.05,0.1,normal8_mu2,2,0.9921738509918946,0.03840579710144927,0.028981727092427547,0.10480510792905476,1.0313045960324216,0.0,8.0,3.0,8.0,8.5,637.5
0.05,0.1,raw_mode,2,1.0,0.0,0.0,0.0,1.0,0.0,64.0,6.0,1.0,1.0,637.5
0.05,0.2,ccsc_conservative,2,0.9992138364779874,0.005263157894736842,0.0015723270440251573,0.005767100532186497,1.0031446540880504,0.0,53.5,6.0,1.1963661774982528,2.5,634.5
0.05,0.2,ccsc_noisy,2,1.0,0.0,0.0,0.0,1.0,0.0,64.0,6.0,1.0,1.0,634.5
0.05,0.2,ccsc_thresholded,2,0.9992138364779874,0.005813953488372093,0.0015723270440251573,0.0060841959827506575,1.0031446540880504,0.0,53.5,6.0,1.1972027972027972,2.5,634.5
0.05,0.2,normal8_mu2,2,0.9921383647798743,0.03296703296703297,0.02279874213836478,0.1008992689529849,1.0314465408805031,0.0,8.0,3.0,8.0,8.5,634.5
0.05,0.2,raw_mode,2,1.0,0.0,0.0,0.0,1.0,0.0,64.0,6.0,1.0,1.0,634.5
0.05,0.4,ccsc_conservative,2,1.0,0.0,0.0,0.005586082406412245,1.0,0.0,55.0,6.0,1.164021164021164,2.5,636.0
0.05,0.4,ccsc_noisy,2,1.0,0.0,0.0,0.0,1.0,0.0,64.0,6.0,1.0,1.0,636.0
0.05,0.4,ccsc_thresholded,2,1.0,0.0,0.0,0.006261927805846201,1.0,0.0,52.5,6.0,1.2191582002902757,2.5,636.0
0.05,0.4,normal8_mu2,2,0.988195069370964,0.033341475329750854,0.02911553256924735,0.10351725778100049,1.0472197225161437,0.0,8.0,3.0,8.0,8.5,636.0
0.05,0.4,raw_mode,2,1.0,0.0,0.0,0.0,1.0,0.0,64.0,6.0,1.0,1.0,636.0
0.1,0.0,ccsc_conservative,2,1.0,0.0,0.0,0.005766171233463704,1.0,0.0,52.5,6.0,1.2200435729847494,2.5,639.0
0.1,0.0,ccsc_noisy,2,1.0,0.0,0.0,0.0,1.0,0.0,64.0,6.0,1.0,1.0,639.0
0.1,0.0,ccsc_thresholded,2,1.0,0.0,0.0,0.005605209319491359,1.0,0.0,53.0,6.0,1.207977207977208,2.5,639.0
0.1,0.0,normal8_mu2,2,0.9882946338261693,0.04850525818267754,0.03434586363046359,0.10726031822326601,1.0468214646953224,0.0,8.0,3.0,8.0,8.5,639.0
0.1,0.0,raw_mode,2,1.0,0.0,0.0,0.0,1.0,0.0,64.0,6.0,1.0,1.0,639.0
0.1,0.05,ccsc_conservative,2,1.0,0.0,0.0,0.008604976762569553,1.0,0.0,50.5,6.0,1.2734436564223799,3.0,636.5
0.1,0.05,ccsc_noisy,2,1.0,0.0,0.0,0.0,1.0,0.0,64.0,6.0,1.0,1.0,636.5
0.1,0.05,ccsc_thresholded,2,1.0,0.0,0.0,0.009189712064212596,1.0,0.0,49.0,6.0,1.3110367892976589,3.0,636.5
0.1,0.05,normal8_mu2,2,0.984399375975039,0.054945054945054944,0.042901716068642744,0.09984095350714743,1.062402496099844,0.0,8.0,3.0,8.0,8.0,636.5
0.1,0.05,raw_mode,2,1.0,0.0,0.0,0.0,1.0,0.0,64.0,6.0,1.0,1.0,636.5
0.1,0.1,ccsc_conservative,2,1.0,0.0,0.0,0.006590295944534548,1.0,0.0,53.5,6.0,1.1972027972027972,2.5,638.5
0.1,0.1,ccsc_noisy,2,1.0,0.0,0.0,0.0,1.0,0.0,64.0,6.0,1.0,1.0,638.5
0.1,0.1,ccsc_thresholded,2,1.0,0.0,0.0,0.0073332668759365244,1.0,0.0,53.0,6.0,1.2092691622103386,2.5,638.5
0.1,0.1,normal8_mu2,2,0.986747599727225,0.059782608695652176,0.042900736394365924,0.10603319360210242,1.0530096010910999,0.0,8.0,3.0,8.0,8.5,638.5
0.1,0.1,raw_mode,2,1.0,0.0,0.0,0.0,1.0,0.0,64.0,6.0,1.0,1.0,638.5
0.1,0.2,ccsc_conservative,2,1.0,0.0,0.0,0.006074183172033279,1.0,0.0,55.0,6.0,1.164021164021164,3.0,633.5
0.1,0.2,ccsc_noisy,2,1.0,0.0,0.0,0.0,1.0,0.0,64.0,6.0,1.0,1.0,633.5
0.1,0.2,ccsc_thresholded,2,1.0,0.0,0.0,0.007002739865304251,1.0,0.0,53.5,6.0,1.1963661774982528,2.5,633.5
0.1,0.2,normal8_mu2,2,0.990547443436659,0.03296703296703297,0.022065932423004087,0.10511350491702658,1.037810226253364,0.0,8.0,3.0,8.0,8.5,633.5
0.1,0.2,raw_mode,2,1.0,0.0,0.0,0.0,1.0,0.0,64.0,6.0,1.0,1.0,633.5
0.1,0.4,ccsc_conservative,2,1.0,0.0,0.0,0.003455854418487953,1.0,0.0,58.5,6.0,1.0940970192869668,2.0,638.5
0.1,0.4,ccsc_noisy,2,1.0,0.0,0.0,0.0,1.0,0.0,64.0,6.0,1.0,1.0,638.5
0.1,0.4,ccsc_thresholded,2,1.0,0.0,0.0,0.005531343449951768,1.0,0.0,55.0,6.0,1.16710875331565,2.5,638.5
0.1,0.4,normal8_mu2,2,0.9773253532182103,0.07222222222222222,0.06334011970172684,0.10430296060192037,1.0906985871271586,0.0,8.0,3.0,8.0,9.0,638.5
0.1,0.4,raw_mode,2,1.0,0.0,0.0,0.0,1.0,0.0,64.0,6.0,1.0,1.0,638.5
0.2,0.0,ccsc_conservative,2,1.0,0.0,0.0,0.004248868311690524,1.0,0.0,55.0,6.0,1.16710875331565,2.5,637.0
0.2,0.0,ccsc_noisy,2,1.0,0.0,0.0,0.0,1.0,0.0,64.0,6.0,1.0,1.0,637.0
0.2,0.0,ccsc_thresholded,2,1.0,0.0,0.0,0.004177904619167558,1.0,0.0,56.0,6.0,1.1432216905901116,2.5,637.0
0.2,0.0,normal8_mu2,2,0.9874608150470219,0.03888888888888889,0.034482758620689655,0.10222979243415452,1.0501567398119123,0.0,8.0,3.0,8.0,8.5,637.0
0.2,0.0,raw_mode,2,1.0,0.0,0.0,0.0,1.0,0.0,64.0,6.0,1.0,1.0,637.0
0.2,0.05,ccsc_conservative,2,1.0,0.0,0.0,0.00645745787413824,1.0,0.0,53.0,6.0,1.2075471698113207,2.5,638.5
0.2,0.05,ccsc_noisy,2,1.0,0.0,0.0,0.0,1.0,0.0,64.0,6.0,1.0,1.0,638.5
0.2,0.05,ccsc_thresholded,2,1.0,0.0,0.0,0.0066347909034017525,1.0,0.0,53.0,6.0,1.207977207977208,2.5,638.5
0.2,0.05,normal8_mu2,2,0.9859130400655413,0.04389632107023411,0.036003551787913125,0.10682674647650633,1.056347839737835,0.0,8.0,3.0,8.0,8.5,638.5
0.2,0.05,raw_mode,2,1.0,0.0,0.0,0.0,1.0,0.0,64.0,6.0,1.0,1.0,638.5
0.2,0.1,ccsc_conservative,2,1.0,0.0,0.0,0.006247785181468075,1.0,0.0,52.5,6.0,1.2200435729847494,2.5,639.5
0.2,0.1,ccsc_noisy,2,1.0,0.0,0.0,0.0,1.0,0.0,64.0,6.0,1.0,1.0,639.5
0.2,0.1,ccsc_thresholded,2,1.0,0.0,0.0,0.0054987076008604936,1.0,0.0,54.5,6.0,1.1752021563342319,2.5,639.5
0.2,0.1,normal8_mu2,2,0.9843578834115806,0.054706163401815576,0.04222662363067293,0.10697410424899073,1.0625684663536776,0.0,8.0,3.0,8.0,8.5,639.5
0.2,0.1,raw_mode,2,1.0,0.0,0.0,0.0,1.0,0.0,64.0,6.0,1.0,1.0,639.5
0.2,0.2,ccsc_conservative,2,1.0,0.0,0.0,0.005811341702065728,1.0,0.0,55.0,6.0,1.1636363636363636,2.5,636.0
0.2,0.2,ccsc_noisy,2,1.0,0.0,0.0,0.0,1.0,0.0,64.0,6.0,1.0,1.0,636.0
0.2,0.2,ccsc_thresholded,2,1.0,0.0,0.0,0.006165850032891066,1.0,0.0,54.0,6.0,1.1855917667238423,2.5,636.0
0.2,0.2,normal8_mu2,2,0.985829138771595,0.05568588714656131,0.04327156037696667,0.10317579504955038,1.05668344491362,0.0,8.0,3.0,8.0,8.5,636.0
0.2,0.2,raw_mode,2,1.0,0.0,0.0,0.0,1.0,0.0,64.0,6.0,1.0,1.0,636.0
0.2,0.4,ccsc_conservative,2,1.0,0.0,0.0,0.0006206558792145698,1.0,0.0,63.0,6.0,1.0161290322580645,2.0,636.5
0.2,0.4,ccsc_noisy,2,1.0,0.0,0.0,0.0,1.0,0.0,64.0,6.0,1.0,1.0,636.5
0.2,0.4,ccsc_thresholded,2,1.0,0.0,0.0,0.005635098673336837,1.0,0.0,54.5,6.0,1.1752021563342319,2.5,636.5
0.2,0.4,normal8_mu2,2,0.9889974131887878,0.038461538461538464,0.03143296505830198,0.09794890917777667,1.0440103472448488,0.0,8.0,3.0,8.0,8.5,636.5
0.2,0.4,raw_mode,2,1.0,0.0,0.0,0.0,1.0,0.0,64.0,6.0,1.0,1.0,636.5
0.4,0.0,ccsc_conservative,2,1.0,0.0,0.0,0.00569160466070877,1.0,0.0,54.0,6.0,1.1855917667238423,2.5,636.5
0.4,0.0,ccsc_noisy,2,0.8099301458791006,0.875,0.6596660331251697,0.1514859940329345,1.7602794164835978,0.0,18.0,5.0,3.5555555555555554,25.5,636.5
0.4,0.0,ccsc_thresholded,2,1.0,0.0,0.0,0.00697302474960697,1.0,0.0,52.0,6.0,1.2348794063079778,2.5,636.5
0.4,0.0,normal8_mu2,2,0.9850986103226125,0.044322344322344324,0.03609088440747414,0.1031522918236007,1.05960555870955,0.0,8.0,3.0,8.0,8.5,636.5
0.4,0.0,raw_mode,2,1.0,0.0,0.0,0.0,1.0,0.0,64.0,6.0,1.0,1.0,636.5
0.4,0.05,ccsc_conservative,2,1.0,0.0,0.0,0.005855189960436791,1.0,0.0,54.0,6.0,1.1851851851851851,2.5,638.0
0.4,0.05,ccsc_noisy,2,0.8324783552974242,0.6340016366612111,0.558047603604666,0.13560323398482854,1.670086578810303,0.0,22.5,5.0,2.8571428571428568,22.0,638.0
0.4,0.05,ccsc_thresholded,2,1.0,0.0,0.0,0.006240196136706715,1.0,0.0,53.5,6.0,1.1972027972027972,2.5,638.0
0.4,0.05,normal8_mu2,2,0.9890965732087227,0.03804347826086957,0.027258566978193146,0.09986056620379127,1.043613707165109,0.0,8.0,3.0,8.0,8.5,638.0
0.4,0.05,raw_mode,2,1.0,0.0,0.0,0.0,1.0,0.0,64.0,6.0,1.0,1.0,638.0
0.4,0.1,ccsc_conservative,2,1.0,0.0,0.0,0.005155458221108279,1.0,0.0,57.0,6.0,1.13151364764268,2.5,633.5
0.4,0.1,ccsc_noisy,2,0.8318806345029677,0.6917848699763594,0.5651658767772512,0.14431684230136388,1.6724774619881293,0.0,20.5,5.0,3.138755980861244,23.0,633.5
0.4,0.1,ccsc_thresholded,2,1.0,0.0,0.0,0.008073454406422192,1.0,0.0,52.0,6.0,1.2348794063079778,3.0,633.5
0.4,0.1,normal8_mu2,2,0.9921011058451816,0.027472527472527472,0.018167456556082148,0.10254985509380866,1.0315955766192733,0.0,8.0,3.0,8.0,8.5,633.5
0.4,0.1,raw_mode,2,1.0,0.0,0.0,0.0,1.0,0.0,64.0,6.0,1.0,1.0,633.5
0.4,0.2,ccsc_conservative,2,1.0,0.0,0.0,0.0038664101715498956,1.0,0.0,58.5,6.0,1.0960187353629975,2.5,636.0
0.4,0.2,ccsc_noisy,2,0.8341475172746264,0.875,0.5949653271363058,0.13410925336107427,1.6634099309014945,0.0,23.0,5.0,2.803809523809524,24.5,636.0
0.4,0.2,ccsc_thresholded,2,1.0,0.0,0.0,0.005934070062799567,1.0,0.0,54.5,6.0,1.1767881241565452,2.5,636.0
0.4,0.2,normal8_mu2,2,0.9913633048616175,0.038522588522588525,0.026699959208395654,0.10419997876012307,1.0345467805535298,0.0,8.0,3.0,8.0,8.5,636.0
0.4,0.2,raw_mode,2,1.0,0.0,0.0,0.0,1.0,0.0,64.0,6.0,1.0,1.0,636.0
0.4,0.4,ccsc_conservative,2,1.0,0.0,0.0,0.0009451793915389937,1.0,0.0,63.0,6.0,1.0158730158730158,2.0,637.5
0.4,0.4,ccsc_noisy,2,0.8188252634065443,0.7887596899224807,0.6258667440933451,0.1471125162973247,1.7246989463738231,0.0,20.5,4.5,3.364102564102564,24.5,637.5
0.4,0.4,ccsc_thresholded,2,1.0,0.0,0.0,0.005849162140616969,1.0,0.0,54.5,6.0,1.1752021563342319,3.0,637.5
0.4,0.4,normal8_mu2,2,0.9905882295044857,0.038282369804108936,0.027450382130185087,0.10403651928520921,1.0376470819820574,0.0,8.0,3.0,8.0,8.5,637.5
0.4,0.4,raw_mode,2,1.0,0.0,0.0,0.0,1.0,0.0,64.0,6.0,1.0,1.0,637.5
